ac_type_id,ac_type_cleaned,ac_category
409,Boeing 737-236,Civilian Passenger Aircraft
410,Boeing 737-241,Civilian Passenger Aircraft
411,Boeing 737-244,Civilian Passenger Aircraft
412,Boeing 737-247,Civilian Passenger Aircraft
413,Boeing 737-266,Civilian Passenger Aircraft
414,Boeing 737-270C,Civilian Passenger Aircraft
415,Boeing 737-275,Civilian Passenger Aircraft
416,Boeing 737-281,Civilian Passenger Aircraft
417,Boeing 737-282,Civilian Passenger Aircraft
418,Boeing 737-286,Civilian Passenger Aircraft
419,Boeing 737-291,Civilian Passenger Aircraft
420,Boeing 737-297,Civilian Passenger Aircraft
421,Boeing 737-2A1,Civilian Passenger Aircraft
422,Boeing 737-2A1C,Civilian Passenger Aircraft
423,Boeing 737-2A8,Civilian Passenger Aircraft
424,Boeing 737-2B7,Civilian Passenger Aircraft
425,Boeing 737-2C3,Civilian Passenger Aircraft
426,Boeing 737-2D6C,Civilian Passenger Aircraft
427,Boeing 737-2F9,Civilian Passenger Aircraft
428,Boeing 737-2H4,Civilian Passenger Aircraft
429,Boeing 737-2H6,Civilian Passenger Aircraft
430,Boeing 737-2H7C,Civilian Passenger Aircraft
431,Boeing 737-2J8C,Civilian Passenger Aircraft
432,Boeing 737-2K9,Civilian Passenger Aircraft
433,Boeing 737-2L9,Civilian Passenger Aircraft
434,Boeing 737-2M2,Civilian Passenger Aircraft
435,Boeing 737-2P5,Civilian Passenger Aircraft
436,Boeing 737-2P6,Civilian Passenger Aircraft
437,Boeing 737-2R4C,Civilian Passenger Aircraft
438,Boeing 737-2T4,Civilian Passenger Aircraft
439,Boeing 737-2V2,Civilian Passenger Aircraft
440,Boeing 737-300,Civilian Passenger Aircraft
441,Boeing 737-31B,Civilian Passenger Aircraft
442,Boeing 737-31S,Civilian Passenger Aircraft
443,Boeing 737-3B7,Civilian Passenger Aircraft
444,Boeing 737-3Q8,Civilian Passenger Aircraft
445,Boeing 737-3T0,Civilian Passenger Aircraft
446,Boeing 737-3T5,Civilian Passenger Aircraft
447,Boeing 737-3Y0,Civilian Passenger Aircraft
448,Boeing 737-401,Civilian Passenger Aircraft
449,Boeing 737-497,Civilian Passenger Aircraft
450,Boeing 737-4D7,Civilian Passenger Aircraft
451,Boeing 737-4Q8,Civilian Passenger Aircraft
452,Boeing 737-4Y0,Civilian Passenger Aircraft
453,Boeing 737-500,Civilian Passenger Aircraft
454,Boeing 737-505,Civilian Passenger Aircraft
455,Boeing 737-524,Civilian Passenger Aircraft
456,Boeing 737-53A,Civilian Passenger Aircraft
457,Boeing 737-566,Civilian Passenger Aircraft
458,Boeing 737-5L9,Civilian Passenger Aircraft
459,Boeing 737-73V,Civilian Passenger Aircraft
460,Boeing 737-7H4,Civilian Passenger Aircraft
461,Boeing 737-809,Civilian Passenger Aircraft
462,Boeing 737-86J,Civilian Passenger Aircraft
463,Boeing 737-8AL,Civilian Passenger Aircraft
464,Boeing 737-8AS,Civilian Passenger Aircraft
465,Boeing 737-8BK,Civilian Passenger Aircraft
466,Boeing 737-8EH,Civilian Passenger Aircraft
467,Boeing 737-8F2,Civilian Passenger Aircraft
468,Boeing 737-8GP,Civilian Passenger Aircraft
469,Boeing 737-8HG,Civilian Passenger Aircraft
470,Boeing 737-8KN (WL),Civilian Passenger Aircraft
471,Boeing 737-8KV WL,Civilian Passenger Aircraft
472,Boeing 737-MAX 8,Civilian Passenger Aircraft
473,Boeing 737-T43,Civilian Passenger Aircraft
474,Boeing 747,Civilian Passenger Aircraft
475,Boeing 747-121,Civilian Passenger Aircraft
476,Boeing 747-121A,Civilian Passenger Aircraft
477,Boeing 747-122,Civilian Passenger Aircraft
478,Boeing 747-130,Civilian Passenger Aircraft
479,Boeing 747-131,Civilian Passenger Aircraft
480,Boeing 747-131F,Civilian Passenger Aircraft
481,Boeing 747-168B,Civilian Passenger Aircraft
482,Boeing 747-200,Civilian Passenger Aircraft
483,Boeing 747-209B,Civilian Passenger Aircraft
484,Boeing 747-209BSF,Civilian Passenger Aircraft
485,Boeing 747-230B,Civilian Passenger Aircraft
486,Boeing 747-237B,Civilian Passenger Aircraft
487,Boeing 747-244B,Civilian Passenger Aircraft
488,Boeing 747-244B-SF,Civilian Passenger Aircraft
489,Boeing 747-246F,Civilian Passenger Aircraft
490,Boeing 747-249F,Civilian Passenger Aircraft
491,Boeing 747-258F,Civilian Passenger Aircraft
492,Boeing 747-283B,Civilian Passenger Aircraft
493,Boeing 747-2B5B,Civilian Passenger Aircraft
494,Boeing 747-2B5F,Civilian Passenger Aircraft
495,Boeing 747-2R7F,Civilian Passenger Aircraft
496,Boeing 747-300,Civilian Passenger Aircraft
497,Boeing 747-412,Civilian Passenger Aircraft
498,Boeing 747-412F,Civilian Passenger Aircraft
499,Boeing 747-428BCF,Cargo and Transport Aircraft
500,Boeing 747-44AF,Cargo and Transport Aircraft
501,Boeing 747-466,Civilian Passenger Aircraft
502,Boeing 747-48EF,Civilian Passenger Aircraft
503,Boeing 747-SP-09,Civilian Passenger Aircraft
504,Boeing 747-SR46,Civilian Passenger Aircraft
505,Boeing 757-200,Civilian Passenger Aircraft
506,Boeing 757-204,Civilian Passenger Aircraft
507,Boeing 757-222,Civilian Passenger Aircraft
508,Boeing 757-223,Civilian Passenger Aircraft
509,Boeing 757-225,Civilian Passenger Aircraft
510,Boeing 757-N23,Civilian Passenger Aircraft
511,Boeing 767-200ER,Civilian Passenger Aircraft
512,Boeing 767-222,Civilian Passenger Aircraft
513,Boeing 767-223ER,Civilian Passenger Aircraft
